               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.057721,             0.02542,           0.0019614,             0.81725,             0.66667,             0.79734,             0.28008,            0.053491,            0.021016,           0.0015584,            0.004951,            0.004951,            0.004951
                  53,            0.051828,            0.026308,           0.0017209,             0.81725,             0.66667,             0.79734,             0.28008,            0.053491,            0.021016,           0.0015584,            0.004852,            0.004852,            0.004852
                  54,            0.055396,            0.029315,           0.0018013,             0.77511,             0.72085,             0.80072,              0.2917,            0.052312,            0.020714,           0.0014577,            0.004753,            0.004753,            0.004753
                  55,            0.055383,            0.030795,           0.0018076,              0.7933,             0.69935,             0.78848,             0.28766,            0.051371,            0.020935,           0.0014504,            0.004654,            0.004654,            0.004654
                  56,            0.052711,            0.025297,           0.0017962,             0.76657,             0.72978,             0.78413,             0.29036,              0.0513,            0.021232,           0.0014503,            0.004555,            0.004555,            0.004555
                  57,            0.053415,            0.028936,            0.001763,             0.72779,             0.77124,              0.7931,             0.32418,            0.048812,            0.021121,           0.0014005,            0.004456,            0.004456,            0.004456
                  58,            0.051402,            0.027893,            0.001722,             0.74734,             0.75397,             0.79553,             0.30846,            0.048575,            0.021207,           0.0013437,            0.004357,            0.004357,            0.004357
                  59,            0.051622,             0.02494,           0.0015018,             0.76241,             0.73409,             0.80267,             0.29138,            0.050335,            0.020886,           0.0013141,            0.004258,            0.004258,            0.004258
                  60,            0.054622,            0.027542,           0.0017742,             0.75884,             0.74039,             0.77491,             0.25966,            0.051752,            0.020607,           0.0013151,            0.004159,            0.004159,            0.004159
                  61,            0.051215,            0.025075,           0.0014726,             0.75884,             0.74039,             0.77491,             0.25966,            0.051752,            0.020607,           0.0013151,             0.00406,             0.00406,             0.00406
                  62,            0.059082,            0.025632,           0.0015532,               0.729,              0.6857,             0.70025,             0.22869,            0.054182,            0.020394,           0.0013228,            0.003961,            0.003961,            0.003961
                  63,            0.054956,            0.024306,           0.0013321,             0.76483,             0.75163,             0.77928,             0.27435,            0.050373,            0.020415,           0.0012887,            0.003862,            0.003862,            0.003862
                  64,            0.053881,            0.022629,           0.0012817,             0.83152,             0.78431,             0.84308,             0.33157,            0.047263,            0.020286,           0.0012001,            0.003763,            0.003763,            0.003763
                  65,            0.051821,              0.0261,           0.0013815,             0.83942,             0.79739,             0.86966,             0.36139,            0.043963,            0.019795,            0.001183,            0.003664,            0.003664,            0.003664
                  66,            0.052332,             0.02408,           0.0013371,             0.82199,             0.81489,             0.88524,             0.36502,            0.044736,            0.019836,           0.0011629,            0.003565,            0.003565,            0.003565
